trial_index,seed,x_meters,y_meters,distance_meters,bearing_degrees
404,1250629660,4.8280,-21.0671,21.6132,282.91
405,1149961537,13.1744,-0.1553,13.1753,359.32
406,1272713608,-0.5688,12.7682,12.7809,92.55
407,152584619,0.2737,21.6696,21.6713,89.28
408,241229083,6.6680,22.2732,23.2500,73.33
409,166820565,5.7897,-13.7319,14.9026,292.86
410,1741386991,-11.3097,-10.8990,15.7066,223.94
411,729848134,-13.3194,5.1157,14.2680,158.99
412,1762508426,18.6036,-7.0779,19.9046,339.17
413,1046351766,8.4619,-14.8372,17.0806,299.70
414,190292941,3.3098,16.6213,16.9476,78.74
415,759748845,3.6021,-18.8596,19.2005,280.81
416,1771301551,12.0938,2.7666,12.4062,12.89
417,1555436819,-20.6898,-14.0047,24.9840,214.09
418,1344824757,21.6279,-9.9745,23.8171,335.24
419,915066516,14.3246,-19.4325,24.1416,306.40
420,877462659,11.0948,3.2448,11.5596,16.30
421,497250520,16.9493,-18.4420,25.0476,312.58
422,157663301,-4.6339,18.9184,19.4776,103.76
423,1113939039,10.7829,17.7013,20.7270,58.65
424,1206043527,0.5406,12.9131,12.9244,87.60
425,1131188374,-18.5049,10.1201,21.0915,151.33
426,2045556301,22.6041,-4.7869,23.1054,348.04
427,290067348,5.8438,7.1969,9.2707,50.92
428,1869884139,-23.4859,-6.0877,24.2620,194.53
429,1731799391,-4.3240,-8.4728,9.5124,242.96
430,1531331856,-1.6014,-9.2734,9.4107,260.20
431,210487803,-13.4266,20.9633,24.8945,122.64
432,1379340595,-14.1657,5.3773,15.1520,159.21
433,1123660478,23.6758,-1.8874,23.7510,355.44
434,579895895,13.5376,-14.6370,19.9376,312.77
435,1844776864,-8.2974,-0.5223,8.3138,183.60
436,645228763,16.0671,-4.1337,16.5903,345.57
437,1064003996,-10.5413,-11.7991,15.8221,228.22
438,1144279114,-13.4513,13.0360,18.7317,135.90
439,1405088118,2.3568,24.7585,24.8704,84.56
440,1926827877,0.8813,-22.2682,22.2856,272.27
441,592547952,-3.6410,-20.7109,21.0285,260.03
442,640754762,-11.6352,-6.5625,13.3583,209.42
443,733056896,21.0710,-8.7970,22.8336,337.34
444,1791244442,14.8293,15.0640,21.1385,45.45
445,165179508,17.2590,11.2481,20.6008,33.09
446,956645203,-21.5966,3.8733,21.9412,169.83
447,1711349595,-9.9434,-5.5406,11.3829,209.13
448,1136404896,-14.4267,-6.1055,15.6655,202.94
449,1326037241,24.2339,-2.8048,24.3956,353.40
450,1091324025,-12.3758,13.2780,18.1511,132.99
451,1960652772,11.8492,17.5416,21.1687,55.96
452,56648885,-1.5245,13.9167,14.0000,96.25
453,1753531502,-6.9400,-5.1847,8.6629,216.76
454,1648659213,22.6180,9.5335,24.5451,22.86
455,1551864802,-20.4281,1.3086,20.4699,176.33
456,276844513,-9.3897,4.6285,10.4685,153.76
457,1225701623,3.0132,18.9017,19.1404,80.94
458,528411502,-5.3898,-11.4571,12.6615,244.81
459,119441286,18.9296,12.2884,22.5684,32.99
460,1251888883,0.6400,-12.4904,12.5068,272.93
461,982646260,4.2498,-6.8015,8.0200,302.00
462,430184127,-18.1844,8.0595,19.8904,156.10
463,656913339,0.2117,19.0584,19.0596,89.36
464,782972356,3.5265,-9.3140,9.9592,290.74
465,1530899188,12.3622,0.9036,12.3952,4.18
466,1497991186,-3.2996,-21.2726,21.5270,261.18
467,638847948,-7.6213,-16.2551,17.9530,244.88
468,466455871,-7.0929,-18.0723,19.4144,248.57
469,492999724,-12.3119,5.6476,13.5454,155.36
470,114520082,-23.5344,-6.9805,24.5478,196.52
471,707297555,14.4153,12.9413,19.3721,41.92
472,411157705,11.4472,-4.3309,12.2391,339.28
473,2087220286,-19.0094,9.3800,21.1977,153.74
474,1135722286,10.5647,-22.1530,24.5432,295.50
475,284914707,11.9809,3.4734,12.4743,16.17
476,2003979405,17.1009,1.4724,17.1641,4.92
477,1572090052,16.6180,8.5158,18.6729,27.13
478,1470178244,1.4564,-21.6638,21.7127,273.85
479,1040864019,10.3973,-9.6310,14.1725,317.19
480,174543171,-9.5865,-19.3142,21.5625,243.60
481,334206706,12.8645,10.6554,16.7043,39.63
482,1301146099,-5.3666,15.6437,16.5386,108.93
483,543846898,-4.9299,21.5460,22.1028,102.89
484,640475366,12.8839,3.5967,13.3765,15.60
485,1718162731,-2.9921,10.2720,10.6989,106.24
486,153838918,5.0636,-15.5849,16.3869,288.00
487,1773292740,-10.3418,-4.5834,11.3119,203.90
488,1622484912,-12.9848,-16.8436,21.2676,232.37
489,1175514740,17.2896,13.1651,21.7313,37.29
490,1567932351,9.3154,-18.3631,20.5908,296.90
491,1567010787,-19.6413,4.6268,20.1789,166.74
492,535592494,-10.6135,-22.5551,24.9275,244.80
493,1024837828,18.1735,1.4306,18.2297,4.50
494,153199235,5.1617,17.2702,18.0251,73.36
495,944181617,-12.3645,-14.8319,19.3097,230.18
496,162363825,23.6222,2.1219,23.7173,5.13
497,2131325070,15.5799,6.1865,16.7633,21.66
498,2097568187,10.6026,-14.7080,18.1312,305.79
499,260345254,7.8112,-11.6391,14.0173,303.87
